genre_id,genre_name
21,Hip-Hop
10,Pop
17,Folk
4,Jazz
26,Post-Rock
25,Punk
15,Electronic
12,Rock
31,Metal
89,Post-Punk
3,Blues
37,Jazz: Vocal
45,Loud-Rock
58,Psych-Rock
66,Indie-Rock
2,International
111,Power-Pop
8,Old-Time / Historic
33,Psych-Folk
118,Balkan
171,Brazilian
19,Funk
74,Free-Jazz
109,Hardcore
166,Interview
137,Americana
97,Jazz: Out
5,Classical
362,Synth Pop
71,No Wave
172,Asia-Far East
92,African
102,Middle East
70,Industrial
130,Europe
90,Sludge
79,Reggae - Dub
232,Flamenco
250,Improv
297,Chip Music
185,Breakcore - Hard
63,Bluegrass
113,Space-Rock
286,Trip-Hop
296,Dance
538,Compilation
539,Rap
311,Lounge
18,Soundtrack
94,Freak-Folk
184,Minimal Electronic
14,Soul-RnB
763,Holiday
322,Composed Music
98,Progressive
181,Techno
314,Goth
182,House
41,Electroacoustic
179,Big Band/Swing
100,Alternative Hip-Hop
1235,Instrumental
187,20th Century Classical
240,Chiptune
13,Easy Listening
88,New Wave
36,Krautrock
9,Country
359,Shoegaze
11,Disco
47,Drone
247,Musique Concrete
401,Bigbeat
400,Chill-out
404,Surf
46,Latin America
180,British Folk
64,Electro-Punk
456,Minimalism
468,Dubstep
360,Kid-Friendly
811,Hip-Hop Beats
77,French
443,Choral Music
6,Novelty
236,IDM
117,Polka
81,Afrobeat
495,Downtempo
504,Latin
619,Spanish
169,Rockabilly
693,Wonky
442,Chamber Music
49,Free-Folk
502,Cumbia
542,Breakbeat
741,Klezmer
177,Celtic
361,Thrash
428,Radio Theater
659,Contemporary Classical
514,Sound Art
602,Reggae - Dancehall
810,Nu-Jazz
524,Romany (Gypsy)
567,Gospel
491,Skweee
167,Black-Metal
906,Modern Jazz
267,New Age
101,Death-Metal
170,Easy Listening: Vocal
337,Drum & Bass
